numeroEtudiant,codeUE,annee,semestre,valide,echouee
23001,INF101,2025-2026,IMPAIR,true,false
23001,INF102,2025-2026,IMPAIR,true,false
23001,INF103,2025-2026,PAIR,false,false
23002,INF101,2025-2026,IMPAIR,true,false
23002,INF102,2025-2026,IMPAIR,false,true
23002,INF103,2025-2026,PAIR,false,false
23003,INF101,2025-2026,IMPAIR,true,false
23003,INF102,2025-2026,IMPAIR,true,false
23003,INF104,2025-2026,PAIR,false,false
23004,INF101,2025-2026,IMPAIR,false,true
23004,MGT101,2025-2026,IMPAIR,true,false
23004,INF104,2025-2026,PAIR,false,false
23005,INF101,2025-2026,IMPAIR,true,false
23005,MGT101,2025-2026,IMPAIR,true,false
23005,INF103,2025-2026,PAIR,false,false
23006,INF101,2025-2026,IMPAIR,true,false
23006,INF102,2025-2026,IMPAIR,true,false
23006,MGT101,2025-2026,IMPAIR,false,false
23007,INF101,2025-2026,IMPAIR,true,false
23007,INF104,2025-2026,PAIR,false,false
23007,MGT102,2025-2026,PAIR,false,false
23008,INF101,2025-2026,IMPAIR,false,true
23008,INF101,2025-2026,PAIR,false,false
23008,MGT101,2025-2026,IMPAIR,true,false
23009,INF101,2025-2026,IMPAIR,true,false
23009,INF102,2025-2026,IMPAIR,true,false
23009,INF105,2025-2026,PAIR,false,false
23010,INF101,2025-2026,IMPAIR,true,false
23010,MGT101,2025-2026,IMPAIR,true,false
23010,MGT102,2025-2026,PAIR,false,false
23011,INF101,2025-2026,IMPAIR,true,false
23011,INF102,2025-2026,IMPAIR,false,true
23011,INF101,2025-2026,PAIR,false,false
23012,INF101,2025-2026,IMPAIR,true,false
23012,INF102,2025-2026,IMPAIR,true,false
23012,INF103,2025-2026,PAIR,false,false
23013,MGT101,2025-2026,IMPAIR,true,false
23013,MGT102,2025-2026,PAIR,false,false
23013,MGT103,2025-2026,PAIR,false,false
23014,INF101,2025-2026,IMPAIR,true,false
23014,INF104,2025-2026,PAIR,false,false
23014,MGT103,2025-2026,PAIR,false,false
23015,INF101,2025-2026,IMPAIR,true,false
23015,INF102,2025-2026,IMPAIR,true,false
23015,INF105,2025-2026,PAIR,false,false
23016,INF101,2025-2026,IMPAIR,false,true
23016,MGT101,2025-2026,IMPAIR,true,false
23016,INF101,2025-2026,PAIR,false,false
23017,INF101,2025-2026,IMPAIR,true,false
23017,INF103,2025-2026,PAIR,false,false
23017,MGT101,2025-2026,IMPAIR,true,false
23018,INF101,2025-2026,IMPAIR,true,false
23018,INF102,2025-2026,IMPAIR,true,false
23018,INF104,2025-2026,PAIR,false,false
23019,MGT101,2025-2026,IMPAIR,true,false
23019,MGT102,2025-2026,PAIR,false,false
23019,INF101,2025-2026,IMPAIR,false,false
23020,INF101,2025-2026,IMPAIR,true,false
23020,INF102,2025-2026,IMPAIR,false,false
23020,MGT101,2025-2026,IMPAIR,true,false
23021,INF101,2025-2026,IMPAIR,true,false
23021,INF102,2025-2026,IMPAIR,true,false
23021,INF103,2025-2026,PAIR,false,false
23022,INF101,2025-2026,IMPAIR,false,true
23022,INF101,2025-2026,PAIR,false,false
23022,MGT101,2025-2026,IMPAIR,true,false
23023,INF101,2025-2026,IMPAIR,true,false
23023,MGT101,2025-2026,IMPAIR,true,false
23023,INF104,2025-2026,PAIR,false,false
23024,INF101,2025-2026,IMPAIR,true,false
23024,INF102,2025-2026,IMPAIR,true,false
23024,INF105,2025-2026,PAIR,false,false
23025,MGT101,2025-2026,IMPAIR,true,false
23025,MGT102,2025-2026,PAIR,false,false
23025,MGT103,2025-2026,PAIR,false,false
23026,INF101,2025-2026,IMPAIR,true,false
23026,INF103,2025-2026,PAIR,false,false
23026,INF104,2025-2026,PAIR,false,false
23027,INF101,2025-2026,IMPAIR,false,false
23027,MGT101,2025-2026,IMPAIR,true,false
23027,INF102,2025-2026,IMPAIR,false,false
23028,INF101,2025-2026,IMPAIR,true,false
23028,INF102,2025-2026,IMPAIR,true,false
23028,MGT101,2025-2026,IMPAIR,true,false
23029,INF101,2025-2026,IMPAIR,false,true
23029,INF101,2025-2026,PAIR,false,false
23029,MGT101,2025-2026,IMPAIR,true,false
23030,INF101,2025-2026,IMPAIR,true,false
23030,INF102,2025-2026,IMPAIR,true,false
23030,INF103,2025-2026,PAIR,false,false
